Datetime,ScreenName,Text,Geolocation
6/12/2021 20:12,Vishaltiwari561,"RT @Saru_Maini: #TheFamilyMan2: For the first time an OTT web series presents Love Jihad the way it is, Kalyan aka Salman love trap for Dhr…",Mumbai
6/12/2021 19:41,ibharti92,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/12/2021 19:40,atishj7,"Had watched #TheFamilyMan2 earlier today, writing &amp; direction is excellent and this builds an excitement too high to look forward what @rajndk has to offer us with @shahidkapoor vs #MakkalSelvan @VijaySethuOffl in their next web series.",Mumbai
6/12/2021 19:28,Avinash74889981,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/12/2021 19:18,meetniel,"RT @hinduja_sunny: #Repost @theaayushsrivastava
To our Hero Love you Millind 3000🙏
#thefamilyman2 #thefamilyman #season2 #manojbajpayee #fa…",Mumbai
6/12/2021 19:06,NimmaVishala,RT @Suparn: The greatest reward! My first @Amul_Coop #thefamilyman2 @rajanddk @BajpayeeManoj @Samanthaprabhu2 https://t.co/ZGSzoomxQD,Mumbai
6/12/2021 19:03,_Siddhesh_wagh,"RT @Darshana_1804: When you see your friend saying your pickup line to impress a girl..
#TheFamilyMan2 https://t.co/nTfBfpxajP",Mumbai
6/12/2021 18:13,thepratikwadhwa,There’s so much sporting action happening across the globe that it’s difficult to go back and complete #TheFamilyMan2 in spite of being introduced to the amazing character of #ChellamSir in S2E1.,Mumbai
6/12/2021 17:26,PariyaniKunal,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/12/2021 17:26,Shooter_NKC,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/12/2021 17:25,_ACTRESSFAN_,"RT @bollywood_life: Deepika Padukone is The Family Man 2 actress Samantha Akkineni's fashion inspiration and these pictures are PROOF 
 #De…",Mumbai
6/12/2021 17:21,_TeamSamantha_,"RT @bollywood_life: Deepika Padukone is The Family Man 2 actress Samantha Akkineni's fashion inspiration and these pictures are PROOF 
 #De…",Mumbai
6/12/2021 17:14,Vikasvikki92,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/12/2021 17:08,i_nidhiii,"RT @hinduja_sunny: #Repost @theaayushsrivastava
To our Hero Love you Millind 3000🙏
#thefamilyman2 #thefamilyman #season2 #manojbajpayee #fa…",Mumbai
6/12/2021 17:02,Shishank2312,"@BajpayeeManoj &amp; @kaykaymenon02 are the only actors who can remotely come close to #irfankhan sir's skills &amp; take his legacy forward in #Indian cinema 🎥 

Such phenomenal talents 👏 #TheFamilyMan2 #TheFamilyManSeason2 #specialops #Ray 

@NetflixIndia @PrimeVideoIN @DisneyPlusHS",Mumbai
6/12/2021 16:53,MohitChaudharry,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/12/2021 16:52,hardcorerahul,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/12/2021 16:49,iam_sonu147,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/12/2021 16:42,Suparn,RT @atishj7: #TheFamilyMan2 is as good as S1 by the whole team @Suparn @rajndk's 1 take shot has been unbelievable they looked extremely sa…,Mumbai
6/12/2021 16:42,Darshana_1804,"When you see your friend saying your pickup line to impress a girl..
#TheFamilyMan2 https://t.co/nTfBfpxajP",Mumbai
6/11/2021 23:32,RatnapriyaD,RT @Suparn: The greatest reward! My first @Amul_Coop #thefamilyman2 @rajanddk @BajpayeeManoj @Samanthaprabhu2 https://t.co/ZGSzoomxQD,Mumbai
6/11/2021 23:12,BilalThaniOruva,RT @ShishirRockstar: @imsadikaslam if you remove Tamil audio from #TheFamilyMan2 then half of the show is gone😂 #MemeTheFamilyMan. But yeah…,Mumbai
6/11/2021 21:13,_AkshayMasal,"Respected @BajpayeeManoj Sir, No Matter it's #BhikhuMhatre From #Sattya or #ShrikantTiwari from #TheFamilyMan , you are always my favorite 😊...
All The Best Sir 👍💐
You are Amazing 😇
Love You 😊😘
#ManojBajpayee #TheFamilyManSeason2 #TheFamilyMan2 @PrimeVideo https://t.co/0J9Ip6BPeb",Mumbai
6/11/2021 20:52,Shahid12Kapoor,RT @Suparn: The greatest reward! My first @Amul_Coop #thefamilyman2 @rajanddk @BajpayeeManoj @Samanthaprabhu2 https://t.co/ZGSzoomxQD,Mumbai
6/11/2021 20:46,SupritDas17,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/11/2021 20:30,Tarun18084678,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/11/2021 20:13,iamvkvikram,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/11/2021 14:57,SunielVShetty,"Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire cast, credits to you for that @CastingChhabra #TheFamilyMan2 is an absolute must watch!!",Mumbai
6/11/2021 14:53,Hani78803960,"RT @Spotboye: The buzz is that #SamanthaAkkineni is acing the OTT game as she gets on board the new trilingual #Netflix web series.

#Tolly…",Mumbai
6/11/2021 14:43,mr_memer_2801,"This is the only person who can tell us how much money has been deposited in 'PM Care Fund'…😜😜😜

#chellamsir #thefamilyman2 https://t.co/ZscGHwhTo5",Mumbai
6/11/2021 14:27,Hani78803960,"RT @bollywood_life: After impressing us with her fierce avatar in The Family Man 2, Samantha Akkineni bags a trilingual web-series by a str…",Mumbai
6/11/2021 14:25,shikhabhansali9,"RT @RCityMall: There are a number of reasons you shouldn't be the ""minimum guy"" but we just want you to focus on one 😉

Gear up and get rea…",Mumbai
6/11/2021 14:24,Hani78803960,"RT @TeamTWTS: Thanks Alot @ishahabali Sir! 🙌❤️ 
@Samanthaprabhu2 AKA #Raji 

#LovedTheFamilyMan2 #TheFamilyMan2 
#LoveYouSamantha #Samantha…",Mumbai
6/11/2021 14:23,D9panshuBh1tia,RT @Koimoi: The Family Man Star Manoj Bajpayee Recalls Being Ignored By Reporters During His Rough Phase: “Aisa Please Mat Karna Kisi Ke Sa…,Mumbai
6/11/2021 14:23,Hani78803960,"RT @TeamTWTS: One Has To Believe Her... 
The Rest She Will Take Care, And Make You Super Proud @Samanthaprabhu2! 🙌😍🔥 

#LovedTheFamilyMan2…",Mumbai
6/11/2021 14:21,Hani78803960,"RT @TeamTWTS: Thanks Alot @upasanakonidela Mam! 🙌❤️ 
@Samanthaprabhu2 

#LovedTheFamilyMan2 #TheFamilyMan2 
#LoveYouSamantha #SamanthaAkkin…",Mumbai
6/11/2021 14:18,Hani78803960,"RT @TeamTWTS: Comedian #VenuTillu About Our #Raji AKA @Samanthaprabhu2! 🙌😎🔥 

#LovedTheFamilyMan2 #TheFamilyMan2 
#LoveYouSamantha #Samanth…",Mumbai
6/11/2021 14:16,cweeten,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/11/2021 16:09,sudhakarskr14,"RT @TeamTWTS: Showing #Raji how to handle JK 💪🏼 
@Samanthaprabhu2! 🙌😎🔥 

#ProudOfYouSAMANTHA #TheFamilyMan2 
#SamanthaAkkineni https://t.co…",Mumbai
6/11/2021 15:02,sharmamatvipin,"RT @iFaridoon: ""I had no idea that it will stand out that big or that much. That's pretty good."": @sharmamatvipin on his popular chai seque…",Mumbai
6/10/2021 23:45,SARFARAZ_D_KING,"Most Satisfying Scene from
#TheFamilyMan2 https://t.co/pIFEIJFm4j",Mumbai
6/10/2021 22:33,sunflowerpilla,"Sajid, Raji, and that night on a beach.
The path must be wrong, but the pain isn't.

#TheFamilyMan2",Mumbai
6/10/2021 22:23,ohdaddydipper,"We say 
“solmoin ne ma chodi physics ki”

“Marvels ne ma chodi logic ki”

But deep inside we all know,
Ki, ma kisne chodi dono ki
#TheFamilyMan2 #TheFamilyManOnPrime #MaHiChodDiAapne https://t.co/14YFdk1204",Mumbai
6/10/2021 21:05,pinkvilla,"The Family Man 2 makers on teasing COVID 19 arc in season 3: We are going to address it
https://t.co/Sr0yvEOL2w
#TheFamilyMan2 #TheFamilyManSeason2",Mumbai
6/10/2021 20:50,khaneliyas01,"@Samanthaprabhu2 is on a different level as Raji 🔥🔥

#TheFamilyMan2",Mumbai
6/10/2021 20:41,DhavalGurnani,RT @Suparn: The greatest reward! My first @Amul_Coop #thefamilyman2 @rajanddk @BajpayeeManoj @Samanthaprabhu2 https://t.co/ZGSzoomxQD,Mumbai
6/10/2021 20:41,ChaddhaLalsingh,"RT @07Snowy: #shrikanttiwari #TheFamilyMan2

*Girls : Boys don't have Feelings even they don't cry 

*Meanwhile Boys : 💔 https://t.co/QnbYS…",Mumbai
6/10/2021 20:25,isabat09,RT @jokebazz: Need a spin off on Chellum sir. #TheFamilyMan2,Mumbai
6/10/2021 20:14,fruitaffair,"https://t.co/LMYoUtTzf0 the beast diet meal provider in town.

 #ChellamSir #TheFamilyMan2 #thefamilymanjobhunt #Familyman2 #FamilyMan2Review #familymeals #mealplanning https://t.co/GesGxuOEWW",Mumbai
6/10/2021 20:13,nishantbhuse,When your performance is the talk of the town  @BajpayeeManoj in a candid talk with @ankitabhalla28  on @PeepingMoon #TheFamilyMan2 https://t.co/RlCJtyhzRg,Mumbai
6/10/2021 18:21,queensamfan,"RT @TeamTWTS: Comedian #VenuTillu About Our #Raji AKA @Samanthaprabhu2! 🙌😎🔥 

#LovedTheFamilyMan2 #TheFamilyMan2 
#LoveYouSamantha #Samanth…",Mumbai
6/10/2021 18:12,Deishma,"Remember the five golden words!

""Dont be a Minimum Trader""

Took some time off to watch season 2.

#TheFamilyMan2",Mumbai
6/10/2021 18:03,untrustely,#TheFamilyMan2 Sam the best best anthe 🔥🔥🔥,Mumbai
6/10/2021 17:49,avilash_g,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/10/2021 17:47,AlwaysHarshaG,RT @DarshanKumaar: Mr. perfectionist @krishdk sir ❤️checking whether Major Sameer is executing his plan well or not 😁🤪 @rajndk #thefamilyma…,Mumbai
6/10/2021 17:30,Ryan35834268,RT @DarshanKumaar: Mr. perfectionist @krishdk sir ❤️checking whether Major Sameer is executing his plan well or not 😁🤪 @rajndk #thefamilyma…,Mumbai
6/10/2021 17:29,Raguvij22991465,"RT @TeamTWTS: One Has To Believe Her... 
The Rest She Will Take Care, And Make You Super Proud @Samanthaprabhu2! 🙌😍🔥 

#LovedTheFamilyMan2…",Mumbai
6/10/2021 17:28,bijweshalaka1,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/10/2021 17:25,AmritaW,Raji👍🏻 Hardened and poker faced! #TheFamilyMan2 #TheFamilyManSeason2 #SamanthaAkkineni,Mumbai
6/10/2021 9:43,pinkvilla,"The Family Man 2's Abhay Verma says he connected with Kalyan; Shares experience of working with Manoj Bajpayee
https://t.co/g3ddGhw74Q

#TheFamilyMan2 #AbhayVerma #ManojBajpayee",Mumbai
6/10/2021 9:41,bollybubble,"#TheFamilyMan2 star #SamanthaAkkineni in talks for a trilingual web series by #Netflix?

@Samanthaprabhu2 #BollywoodBubble 

https://t.co/PkL57GVTFT",Mumbai
6/13/2021 3:22,BornInNoon,"RT @atishj7: Had watched #TheFamilyMan2 earlier today, writing &amp; direction is excellent and this builds an excitement too high to look forw…",Mumbai
6/13/2021 3:12,FaijaanKhan11,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/13/2021 3:08,Shehnaz_smile,"RT @manav22: #TheFamilyMan2 is awesomeness 
#MustWatch for my fav @Samanthaprabhu2 ❤️ #Raaji rocks",Mumbai
6/13/2021 2:56,yogesh24gupta,"RT @hinduja_sunny: #Repost @theaayushsrivastava
To our Hero Love you Millind 3000🙏
#thefamilyman2 #thefamilyman #season2 #manojbajpayee #fa…",Mumbai
6/13/2021 2:50,sahu_surit,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/13/2021 1:21,KoolRazzz,"RT @rvcjmovies: Egoless ♥️ @BajpayeeManoj 
#manojbajpayee #thefamilyman #thefamilyman2 #samantharuthprabhu #webseries #indianwebseries #rvc…",Mumbai
6/13/2021 1:20,PointShubh,"RT @Saru_Maini: #TheFamilyMan2: For the first time an OTT web series presents Love Jihad the way it is, Kalyan aka Salman love trap for Dhr…",Mumbai
6/13/2021 1:04,Harshu46126715,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/13/2021 23:42,pinkvilla,"#SharibHashmi says he’s on ‘cloud nine’ as the response on #TheFamilyMan2 has been ‘crazy’; Deets inside -
https://t.co/yJuTFnk7h9",Mumbai
6/13/2021 20:53,Zeal20032002,RT @Suparn: The greatest reward! My first @Amul_Coop #thefamilyman2 @rajanddk @BajpayeeManoj @Samanthaprabhu2 https://t.co/ZGSzoomxQD,Mumbai
6/13/2021 19:13,ShyamGupta2104,"RT @rvcjmovies: Words from Chellam sir himself 😍
#chellam #chellamsir #udaymahesh #thefamilyman2 #webseries #indianwebseries #rvcjmovies ht…",Mumbai
6/13/2021 19:01,PorediPavan,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/13/2021 18:44,karthickvengat7,"RT @rvcjmovies: Words from Chellam sir himself 😍
#chellam #chellamsir #udaymahesh #thefamilyman2 #webseries #indianwebseries #rvcjmovies ht…",Mumbai
6/13/2021 17:33,IAmanGarcha,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/13/2021 17:25,SaurabhN2014,RT @SunielVShetty: Fabulous direction by @rajndk Extraordinary performances by @BajpayeeManoj @Samanthaprabhu2 @sharibhashmi and the entire…,Mumbai
6/13/2021 17:25,AnkurMi43508930,"RT @bollywood_life: Trending OTT News Today: #TheFamilyMan2 actress #Priyamani opens up on being fat-shamed multiple times, #SamanthaAkkine…",Mumbai
6/13/2021 17:22,iamvarshinir,"RT @rvcjmovies: Words from Chellam sir himself 😍
#chellam #chellamsir #udaymahesh #thefamilyman2 #webseries #indianwebseries #rvcjmovies ht…",Mumbai
6/13/2021 16:59,Subin99822559,"RT @TeamTWTS: First Fight #Raji 🙌🔥 
@Samanthaprabhu2 

Comment Your Fav Fight Scene.. 
#TheFamilyMan2 #SamanthaAkkineni 
#ProudOfYouSAMANTH…",Mumbai
6/13/2021 16:59,Subin99822559,"RT @TeamTWTS: Showing #Raji how to handle JK 💪🏼 
@Samanthaprabhu2! 🙌😎🔥 

#ProudOfYouSAMANTHA #TheFamilyMan2 
#SamanthaAkkineni https://t.co…",Mumbai
6/13/2021 11:55,x_entertainmen,"The Family Man Season 2 Episode 6, Watch The Family Man Web Series Season 2 Online Explanation
See Episode 06 at: https://t.co/jBjhqs8Myt

#TheFamilyMan2 #TheFamilyManSeason2 #TheFamilyManWebSeries #TheFamilyManEpisode6 #WatchTheFamilyMan #ManojBajpayee #FamilyManEpisode6 https://t.co/JxbdludbjI",Mumbai
6/14/2021 8:38,TheBad1812,RT @Koimoi: The most viewed show over the last week! A special mention for actor @ishahabali who gave a powerpacked performance in #TheFami…,Mumbai
6/14/2021 8:31,ah73815296,RT @Koimoi: The most viewed show over the last week! A special mention for actor @ishahabali who gave a powerpacked performance in #TheFami…,Mumbai
6/14/2021 8:26,Akashkd19,"RT @TeamTWTS: First Fight #Raji 🙌🔥 
@Samanthaprabhu2 

Comment Your Fav Fight Scene.. 
#TheFamilyMan2 #SamanthaAkkineni 
#ProudOfYouSAMANTH…",Mumbai
6/14/2021 8:19,Koimoi,The most viewed show over the last week! A special mention for actor @ishahabali who gave a powerpacked performance in #TheFamilyMan2 directed by @rajndk on @PrimeVideoIN https://t.co/UsedDaThZy,Mumbai
6/14/2021 5:14,samee0402,"RT @rvcjmovies: Words from Chellam sir himself 😍
#chellam #chellamsir #udaymahesh #thefamilyman2 #webseries #indianwebseries #rvcjmovies ht…",Mumbai
6/14/2021 4:49,kaushikzala,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/14/2021 4:35,ChiBabaIndia,"RT @manojgjha: @hvgoenka @BajpayeeManoj @Samanthaprabhu2 Brilliant Most Iconic and Cult chase scene 🔥🤣

@rajndk @BajpayeeManoj @sharibhashm…",Mumbai
6/14/2021 17:17,ankurkakatkar,A binge is a binge worth if it is #TheFamilyMan2! Kudos @BajpayeeManoj aka Shrikant &amp; @sharibhashmi ! @SharadK7 like always charming! @AshleshaThaakur ur wonderful! And loads of kudos to @Suparn @rajndk you guys got back @PrimeVideoIN back on track…@Samanthaprabhu2 @daliptahil,Mumbai
